Year Month,Postal Code,Customer Class,Total Gallons
201403,78702,Residential,"23,450,100"
201311,78746,Multi-Family,"12,801,400"
201704,78652,Multi-Family,"58,400"
201302,78727,Irrigation - Residential,"1,800"
201608,78726,Irrigation - Residential,"82,200"
201611,78729,Irrigation - Multi-Family,"4,852,700"
201808,78751,Multi-Family,"13,112,700"
201312,78719,Residential,"1,394,200"
201208,78753,Irrigation - Multi-Family,"8,744,100"
201402,78753,Residential,"33,497,500"
201603,78752,Irrigation - Multi-Family,"58,400"
201207,78749,Irrigation - Multi-Family,"8,506,700"
201207,78705,Irrigation - Multi-Family,"623,700"
201404,78747,Irrigation - Residential,0
201311,78722,Multi-Family,"2,632,600"
201502,78701,Multi-Family,"13,211,900"
201409,78751,Irrigation - Multi-Family,"1,243,100"
201401,78747,Irrigation - Multi-Family,"386,000"
201203,78728,Irrigation - Multi-Family,"125,800"
201304,78728,Irrigation - Multi-Family,"728,100"
201306,78732,Residential,"6,700"
201506,78737,Irrigation - Residential,"5,900"
201703,78758,Irrigation - Residential,"16,500"
201506,78746,Irrigation - Multi-Family,"522,500"
201205,78731,Irrigation - Multi-Family,"973,200"
201302,78744,Irrigation - Residential,"1,400"
201301,78749,Residential,"59,260,300"
201205,78724,Irrigation - Residential,"34,300"
201612,78721,Multi-Family,"4,586,500"
201206,78747,Multi-Family,"8,090,900"
201211,78722,Residential,"9,681,200"
201612,78748,Multi-Family,"24,771,800"
201501,78728,Irrigation - Residential,"3,000"
201604,78753,Irrigation - Residential,"3,700"
201411,78660,Multi-Family,"4,142,300"
201804,78719,Multi-Family,"321,000"
201311,78741,Irrigation - Multi-Family,"2,930,000"
201511,78701,Residential,"773,800"
201603,78727,Irrigation - Multi-Family,"3,391,100"
201312,78729,Irrigation - Residential,"10,200"
201604,78741,Irrigation - Multi-Family,"2,323,700"
201502,78701,Residential,"643,100"
201303,78754,Multi-Family,"16,183,600"
201305,78721,Irrigation - Multi-Family,"27,000"
201406,78702,Multi-Family,"10,860,900"
201410,78753,Irrigation - Residential,"1,800"
201201,78705,Irrigation - Residential,"28,100"
201706,78728,Residential,"6,284,400"
201203,78741,Multi-Family,"80,321,000"
201506,78752,Residential,"10,904,200"
201508,78759,Multi-Family,"44,686,000"
201201,78729,Irrigation - Multi-Family,"1,315,600"
201204,78729,Multi-Family,"21,898,400"
201401,78725,Multi-Family,"324,800"
201611,78717,Irrigation - Residential,"38,200"
201303,78752,Residential,"11,982,800"
201610,78757,Irrigation - Residential,"28,000"
201704,78736,Irrigation - Multi-Family,"477,000"
201801,78749,Irrigation - Multi-Family,"1,547,500"
201207,78652,Irrigation - Residential,"53,200"
201511,78747,Multi-Family,"6,824,800"
201606,78736,Irrigation - Multi-Family,"627,500"
201609,78735,Multi-Family,"9,873,400"
201407,78735,Multi-Family,"8,777,900"
201601,78727,Residential,"31,663,600"
201702,78721,Irrigation - Residential,"2,800"
201309,78723,Multi-Family,"23,364,700"
201706,78745,Irrigation - Multi-Family,"5,673,400"
201612,78759,Irrigation - Multi-Family,"936,200"
201501,78719,Residential,"1,596,200"
201203,78724,Irrigation - Residential,"20,300"
201301,78752,Irrigation - Multi-Family,"88,700"
201501,78701,Irrigation - Multi-Family,"661,300"
201308,78758,Irrigation - Residential,"52,500"
201507,78731,Irrigation - Residential,"481,400"
201311,78652,Multi-Family,"9,900"
201806,78737,Irrigation - Residential,"9,000"
201202,78751,Irrigation - Residential,"51,600"
201210,78722,Residential,"9,122,200"
201303,78756,Residential,"11,185,700"
201508,78702,Irrigation - Multi-Family,"1,559,000"
201506,78701,Residential,"767,900"
201608,78613,Irrigation - Multi-Family,"2,323,200"
201608,78759,Irrigation - Residential,"139,000"
201603,78731,Multi-Family,"17,415,700"
201610,78746,Irrigation - Residential,"710,500"
201801,78737,Irrigation - Residential,"3,500"
201804,78731,Irrigation - Residential,"410,200"
201201,78729,Irrigation - Residential,"1,800"
201803,78721,Multi-Family,"4,449,600"
201512,78754,Multi-Family,"15,423,000"
201706,78749,Residential,"65,804,800"
201509,78756,Irrigation - Multi-Family,"381,400"
201601,78652,Residential,"1,665,300"
201507,78721,Residential,"15,707,400"
201808,78727,Multi-Family,"25,464,700"
201610,78739,Irrigation - Multi-Family,"41,800"
201604,78724,Irrigation - Residential,"23,600"
201506,78759,Irrigation - Multi-Family,"746,200"
201611,78722,Irrigation - Multi-Family,"158,700"
201804,78613,Multi-Family,"3,076,900"
201406,78729,Irrigation - Residential,"18,100"
201604,78750,Irrigation - Residential,"10,500"
201601,78721,Irrigation - Residential,"4,600"
201804,78750,Residential,"49,213,600"
201512,78731,Residential,"43,454,700"
201202,78724,Residential,"16,945,000"
201302,78759,Irrigation - Residential,"40,900"
201802,78660,Residential,"8,345,900"
201509,78723,Irrigation - Residential,"2,000"
201212,78703,Residential,"61,200,900"
201301,78726,Irrigation - Multi-Family,"3,667,400"
201209,78741,Multi-Family,"88,215,800"
201204,78735,Residential,"22,972,600"
201205,78745,Multi-Family,"34,393,900"
201301,78722,Multi-Family,"2,743,400"
201505,78748,Irrigation - Multi-Family,"2,728,400"
201204,78660,Multi-Family,"2,790,400"
201802,78724,Irrigation - Residential,"14,600"
201605,78725,Residential,"2,324,400"
201709,78701,Residential,"1,055,600"
201305,78704,Residential,"48,425,400"
201806,78729,Residential,"27,445,700"
201408,78741,Irrigation - Residential,"32,900"
201502,78703,Irrigation - Residential,"268,300"
201306,78731,Irrigation - Residential,"575,500"
201310,78727,Residential,"44,765,400"
201806,78652,Residential,"6,219,800"
201311,78721,Irrigation - Residential,800
201303,78745,Residential,"70,995,300"
201205,78756,Multi-Family,"5,883,600"
201610,78737,Irrigation - Residential,"12,700"
201302,78731,Residential,"50,131,000"
201507,78739,Irrigation - Multi-Family,100
201601,78754,Residential,"20,345,000"
201201,78746,Irrigation - Residential,"191,800"
201506,78753,Irrigation - Multi-Family,"2,720,100"
201212,78749,Residential,"70,314,200"
201310,78736,Multi-Family,"2,452,900"
201612,78727,Irrigation - Residential,"10,700"
201711,78746,Multi-Family,"11,382,900"
201608,78722,Multi-Family,"3,145,300"
201202,78757,Residential,"26,408,600"
201411,78727,Irrigation - Residential,"16,800"
201301,78719,Multi-Family,"536,200"
201602,78737,Residential,"5,965,900"
201307,78722,Irrigation - Multi-Family,"265,300"
201609,78702,Irrigation - Multi-Family,"1,379,000"
201412,78702,Residential,"23,813,900"
201507,78613,Multi-Family,"1,235,800"
201502,78754,Residential,"16,919,000"
201507,78759,Irrigation - Multi-Family,"1,378,100"
201312,78727,Irrigation - Multi-Family,"1,441,000"
201202,78705,Irrigation - Multi-Family,"313,000"
201410,78731,Irrigation - Residential,"519,500"
201502,78751,Irrigation - Residential,"9,700"
201404,78702,Irrigation - Multi-Family,"485,100"
201301,78724,Irrigation - Residential,"10,300"
201509,78732,Residential,"12,700"
201409,78749,Irrigation - Multi-Family,"7,891,000"
201611,78717,Residential,"33,388,700"
201404,78660,Residential,"7,568,100"
201507,78754,Irrigation - Residential,"23,000"
201309,78738,Residential,"5,500"
201402,78747,Irrigation - Residential,"1,800"
201312,78759,Residential,"48,339,000"
201211,78748,Irrigation - Multi-Family,"7,808,700"
201201,78729,Multi-Family,"21,389,000"
201305,78736,Residential,"13,978,800"
201511,78721,Irrigation - Residential,"3,200"
201303,78730,Residential,"11,852,100"
201607,78703,Irrigation - Multi-Family,"994,200"
201605,78617,Residential,"17,410,100"
201201,78747,Irrigation - Residential,"79,900"
201310,78750,Irrigation - Residential,"44,800"
201703,78745,Irrigation - Multi-Family,"2,224,900"
201210,78729,Irrigation - Residential,"17,900"
201207,78704,Multi-Family,"50,265,900"
201612,78717,Irrigation - Multi-Family,"2,295,300"
201303,78717,Irrigation - Residential,"25,300"
201504,78719,Residential,"1,478,900"
201202,78726,Irrigation - Multi-Family,"2,313,800"
201209,78703,Irrigation - Multi-Family,"1,095,600"
201601,78744,Irrigation - Residential,"25,000"
201803,78750,Multi-Family,"10,974,400"
201210,78756,Residential,"12,906,000"
201401,78723,Irrigation - Multi-Family,"70,300"
201205,78747,Irrigation - Residential,"190,300"
201402,78737,Irrigation - Residential,"3,100"
201608,78759,Irrigation - Multi-Family,"1,735,500"
201501,78729,Irrigation - Residential,"3,100"
201312,78727,Irrigation - Residential,100
201402,78757,Irrigation - Residential,"40,300"
201808,78753,Multi-Family,"58,361,400"
201802,78703,Irrigation - Multi-Family,"293,000"
201208,78739,Irrigation - Residential,0
201507,78724,Irrigation - Multi-Family,"248,400"
201604,78738,Residential,"1,500"
201504,78660,Irrigation - Residential,"9,400"
201212,78723,Multi-Family,"22,589,300"
201602,78736,Irrigation - Residential,"21,700"
201601,78739,Residential,"30,794,600"
201310,78721,Residential,"15,099,400"
201802,78726,Residential,"12,143,000"
201205,78719,Multi-Family,"583,300"
201702,78737,Irrigation - Residential,"2,800"
201609,78701,Irrigation - Residential,"40,000"
201401,78750,Multi-Family,"13,185,400"
201201,78702,Residential,"28,371,300"
201210,78719,Multi-Family,"806,300"
201207,78705,Irrigation - Residential,"138,700"
201206,78724,Irrigation - Multi-Family,"100,800"
201702,78758,Multi-Family,"45,975,100"
201802,78744,Irrigation - Multi-Family,"1,510,300"
201206,78744,Irrigation - Multi-Family,"1,203,400"
201512,78702,Irrigation - Residential,"75,000"
201310,78652,Irrigation - Residential,"42,500"
201406,78754,Multi-Family,"17,929,300"
201607,78736,Multi-Family,"3,259,600"
201403,78747,Multi-Family,"6,390,900"
201210,78747,Irrigation - Residential,"65,100"
201305,78727,Irrigation - Multi-Family,"5,277,400"
201211,78613,Multi-Family,"19,000"
201502,78746,Irrigation - Residential,"101,900"
201408,78737,Irrigation - Residential,"24,100"
201601,78704,Irrigation - Residential,"47,700"
201601,78756,Irrigation - Residential,"35,600"
201206,78722,Residential,"11,557,800"
201204,78756,Irrigation - Multi-Family,"56,300"
201504,78731,Irrigation - Multi-Family,"143,600"
201401,78745,Irrigation - Multi-Family,"1,213,400"
201503,78758,Irrigation - Residential,"31,100"
201603,78742,Multi-Family,"246,400"
201511,78613,Multi-Family,"1,176,100"
201308,78723,Irrigation - Multi-Family,"358,100"
201308,78749,Irrigation - Residential,"38,200"
201402,78721,Residential,"12,497,200"
201305,78613,Multi-Family,"57,700"
201311,78728,Irrigation - Multi-Family,"670,800"
201308,78744,Irrigation - Residential,"3,500"
201408,78741,Multi-Family,"82,941,500"
201504,78727,Irrigation - Multi-Family,"1,997,400"
201510,78723,Irrigation - Multi-Family,"240,700"
201301,78736,Multi-Family,"2,358,300"
201401,78730,Irrigation - Residential,"104,800"
201403,78730,Multi-Family,"4,173,500"
201512,78756,Irrigation - Multi-Family,"141,900"
201506,78752,Multi-Family,"17,645,600"
201203,78724,Residential,"19,627,600"
201304,78751,Irrigation - Residential,"81,800"
201301,78751,Irrigation - Multi-Family,"259,900"
201302,78744,Multi-Family,"23,364,800"
201601,78729,Irrigation - Multi-Family,"1,695,200"
201206,78758,Irrigation - Residential,"29,300"
201808,78730,Residential,"43,500,800"
201302,78703,Residential,"43,719,800"
201411,78729,Multi-Family,"19,562,900"
201204,78745,Irrigation - Residential,"27,000"
201501,78735,Irrigation - Multi-Family,"341,400"
201703,78741,Multi-Family,"74,763,600"
201209,78705,Irrigation - Multi-Family,"653,300"
201809,78757,Residential,"48,090,600"
201809,78754,Multi-Family,"17,386,000"
201701,78736,Irrigation - Residential,"11,900"
201411,78730,Irrigation - Residential,"147,700"
201808,78732,Residential,"17,200"
201701,78724,Multi-Family,"12,163,900"
201606,78745,Irrigation - Residential,"25,000"
201504,78757,Residential,"27,837,900"
201310,78730,Irrigation - Residential,"163,900"
201412,78728,Multi-Family,"6,991,300"
201511,78721,Irrigation - Multi-Family,"252,000"
201701,78653,Irrigation - Residential,"1,000"
201201,78742,Residential,"707,300"
201309,78652,Multi-Family,"13,700"
201608,78730,Multi-Family,"5,958,500"
201504,78721,Residential,"12,477,900"
201209,78747,Irrigation - Multi-Family,"1,820,800"
201503,78702,Irrigation - Residential,"18,500"
201605,78723,Irrigation - Residential,"5,400"
201804,78754,Irrigation - Multi-Family,"2,106,800"
201612,78745,Irrigation - Residential,"32,500"
201703,78747,Irrigation - Residential,800
201302,78652,Multi-Family,"20,200"
201207,78732,Residential,"18,200"
201511,78717,Multi-Family,"9,292,800"
201404,78721,Irrigation - Multi-Family,100
201209,78730,Irrigation - Residential,"476,500"
201311,78731,Residential,"49,981,000"
